v_name,pageranks
Lil Wayne,0.005301
Kanye West,0.002869
Akon,0.002482
Eminem,0.0023
Drake,0.002258
Rick Ross,0.002229
T.I.,0.002139
T-Pain,0.001855
Fat Joe,0.001763
DJ Khaled,0.001614
Chris Brown (4),0.001464
DJ Drama,0.001457
2 Chainz,0.00135
Birdman (2),0.001328
Young Jeezy,0.001256
Wiz Khalifa,0.001235
Future (4),0.001148
Rihanna,0.001126
Gucci Mane,0.001083
Usher,0.001064
Big Sean,0.001059
Baby (2),0.001015
Nicki Minaj,0.000975
French Montana,0.000913
Jeremih,0.00081
Ty$,0.000799
Yung Joc,0.000798
Quavo,0.000783
O.C.,0.000754
Steve Aoki,0.000607
Plies,0.000584
Juicy J,0.000584
Tyga,0.000581
Lil' Boosie,0.000577
"Royce Da 5'9""",0.000568
Jamie Foxx,0.000562
ASAP Rocky,0.000552
Young Thug (2),0.000552
Large Professor,0.00055
Yo Gotti,0.000546
Black M (2),0.000537
Shabba Ranks,0.000531
Major Lazer,0.000528
Jennifer Lopez,0.000526
Jay Sean,0.000526
Vybz Kartel,0.000499
Kendrick Lamar,0.000474
Pusha T,0.000456
Terror Squad,0.000455
Ne-Yo,0.000448
Logic (27),0.000447
Medaphoar,0.000443
Justin Bieber,0.000437
Travis Scott (2),0.000437
Swizz Beatz,0.000429
B.G.,0.000423
Remy Martin,0.000421
Migos,0.000414
G-Eazy,0.000414
WizKid (4),0.000413
Iggy Azalea,0.000409
Lloyd,0.000404
112,0.000397
Babyface,0.000387
Calvin Harris,0.000387
Kid Ink,0.000379
Wayne-O,0.000378
Webbie,0.000374
Professor Green,0.000373
Travis McCoy,0.000369
Anderson .Paak,0.000368
Patra,0.000367
Shabaam Sahdeeq,0.000359
YG (2),0.00035
Brandy (2),0.000347
Obie Trice,0.00034
Bruno Mars,0.00034
Meek Mill,0.000331
Desiigner,0.000324
TOKiMONSTA,0.000315
Lily Allen,0.000311
Afrojack,0.000308
Tony Sunshine,0.000305
Styles P,0.000302
Angie Stone,0.000302
Clinton Sparks,0.000301
DJ Smallz,0.000301
August Alsina,0.000298
David Banner,0.000292
Trey Songz,0.000291
Ace Hood,0.000288
Adam Levine,0.000286
Da Beatminerz,0.000283
K-Hill,0.000278
Waka Flocka Flame,0.000271
Bad Meets Evil,0.00027
KRNE,0.00027
Lupe Fiasco,0.000267
Sporty Thievz,0.00026
Stooshe,0.00026
Enrique Iglesias,0.000259
Don Choa,0.000259
Lil' Scrappy,0.000258
Rich Homie Quan,0.000255
Delaney Jane,0.000255
The Weeknd,0.000252
Young Dro,0.00025
Mac Miller,0.000249
Tujamo,0.000249
gENSu dEAn,0.000248
Sigma (8),0.000248
Sebastian Kole,0.000248
Roc Raida,0.000246
Miley Cyrus,0.000246
Charli XCX,0.000246
Henry X,0.000246
Mr. Pookie,0.000245
Mr. Lucci,0.000245
Glasses Malone,0.000245
DVBBS,0.000245
Manu Dibango,0.000243
Asher Roth,0.000238
DJ Mustard,0.000233
DJ The Boy,0.000232
702,0.000232
One Chance,0.000226
Usher Raymond IV,0.000226
Devox,0.000225
Rod Stewart,0.000225
Miguel (67),0.000225
Marshmello (2),0.000225
Agallah,0.000224
Young Money (2),0.000223
Blanco (6),0.000222
Juelz Santana,0.000221
Zaho,0.00022
Tinashe (2),0.000218
Tech N9ne,0.000215
2 Pistols,0.000214
Don Cannon,0.000213
Katy Perry,0.000212
DJ Paul (3),0.000212
Quality Control (6),0.000208
B-1,0.000207
Chapter 13,0.000205
Medinah General,0.000205
Jim Jones (2),0.000202
Ray Lavender,0.000201
Cap.One,0.000199
Foxx (4),0.000197
Big Head,0.000197
Abou Debeing,0.000197
Bomfunk MC's,0.000196
Sparkle (2),0.000194
Toni Braxton,0.000192
Cookin' Soul,0.000191
Camila Cabello,0.000191
Neek The Exotic,0.00019
Angger Dimas,0.000185
I Love Makonnen,0.000185
The #1 Stunna,0.000184
Kevin Rudolf,0.000184
Tay Dizm,0.000183
Ghetto Starz,0.000182
Rocigarson,0.000182
Bossfam,0.000182
P$C,0.000179
Imagine Dragons,0.000177
X Ambassadors,0.000177
Diddy - Dirty Money,0.000176
Cuban Link,0.000175
Slademan,0.000175
Jaz Kahina,0.000175
Chris Lake,0.000175
Christophe Willem,0.000175
Inna Modja,0.000175
D.B.A. (3),0.000174
Sky (2),0.000171
N.A.P.,0.000171
Hustle Gang,0.00017
1017 Brick Squad,0.000169
Robin Thicke,0.000169
Offset (10),0.000169
Young Scooter,0.000169
21 Savage,0.000168
MHD (4),0.000168
Maroon 5,0.000167
Khalid (16),0.000167
DJ Scream (5),0.000166
Jibbs,0.000166
Huey (2),0.000166
Soul Aliens,0.000165
Yassi,0.000165
Tone Hooker,0.000163
Les Little,0.000163
B.o.B,0.000163
Shaun Frank,0.000163
Sean Garrett,0.000162
Metro Boomin,0.000162
Most Dope,0.00016
Big Jerm,0.00016
Alessia Cara,0.00016
Rich Gang,0.000158
Stack Bundles,0.000155
MEDZ (2),0.000154
Kings (5),0.000154
Swae Lee,0.000154
Debonair P,0.000153
Avant (2),0.000152
Savage (2),0.000152
Big Kuntry,0.000152
Skooly,0.000152
Short Dawg,0.000152
Slim Shady,0.000151
Rishi Rich,0.000151
Lucy Pearl,0.000149
Les Sages Poetes De La Rue,0.000149
¡Mayday!,0.000149
Kendall Morgan,0.000149
Lil'O,0.000148
Boogie Down Berlin Crew,0.000148
Armageddon (3),0.000147
Melodee (2),0.000147
B. Ford,0.000147
Mike Posner (2),0.000146
Made Men,0.000143
Jessi Malay,0.000142
RaRa (9),0.00014
Brandon Rossi,0.00014
Yo-Yo,0.000139
Terri & Monica,0.000139
DB Tha General,0.000139
Chance The Rapper,0.000139
Takeoff,0.000136
Nayer (2),0.000134
Sia,0.000133
DJ Holiday (2),0.000133
Max'C,0.000132
OJ Da Juiceman,0.000132
La' Chat,0.000132
The Sqwad,0.000131
The New Music Cartel,0.000131
Chester French,0.000131
Mike WiLL Made It,0.00013
Cheri Dennis,0.00013
Gorilla Zoe,0.00013
Sunny Valentine,0.00013
Nitti,0.00013
Jhené AIko,0.00013
Infa-Red,0.000125
Bebe Rexha,0.000123
Prince Ital Joe,0.000122
Haze (71),0.000121
Vindata,0.000121
Cashmere Cat,0.000119
Sierra Kusterbeck,0.000118
Maverick Sabre,0.000118
Miles Kane,0.000118
Niia,0.000117
Beres Hammond,0.000117
All Star,0.000117
P.F. Cuttin',0.000117
Dramillis,0.000115
DJ Haze (3),0.000115
DJ Capcom,0.000115
Rich The Kid,0.000115
Juggy D,0.000114
Armand Van Helden,0.000113
BL,0.000113
Cyssero,0.000112
J.O.,0.000112
Blaxuede,0.000111
Turk (2),0.000111
Fetty Wap,0.000111
Grandtheft,0.000111
Grafiti Boyz,0.00011
MeMpHiTz,0.00011
Shake Severs,0.000109
Blood Raw,0.000109
Hayley Williams,0.000108
Glaze N.Y.,0.000107
White Boy Mike,0.000105
Peaches Lavon,0.000105
Dolla (2),0.000105
Aaradhna,0.000104
The Chopper City Boyz,0.000104
Frank Ocean,0.000104
Keke Wyatt,0.000103
Fabo,0.000103
Nu Beginning,0.000103
Homebwoi,0.000102
Husalah,0.000102
Lyn Collins,0.000101
Aaron Hall,0.000101
Lil Uzi Vert,0.000101
Kamaiyah,0.000101
Roscoe Dash,0.000101
TM88,0.0001
Lord Infamous,9.9E-05
PARTYNEXTDOOR,9.8E-05
Borgore,9.7E-05
Marc E. Bassy,9.7E-05
Starrah,9.7E-05
Yung La,9.5E-05
Zaytoven,9.4E-05
Mura Masa,9.4E-05
M.V.P.,9.3E-05
Kyla (3),9.3E-05
Sorana (3),9.2E-05
Will Brennan,9.1E-05
Lil Mama,9E-05
Alfa Mega,9E-05
B Money,9E-05
DJ Wreckineyez,8.9E-05
Chrisette Michele,8.8E-05
Tamar Braxton,8.7E-05
Bryson Tiller,8.7E-05
Keys N Krates,8.5E-05
Axwell Λ Ingrosso,8.5E-05
Dej Loaf,8.5E-05
Emily King,8.4E-05
Blue Daisy,8.4E-05
Lecrae,8.4E-05
C-Ride,8.4E-05
Jack Garratt,8.4E-05
One (46),8.3E-05
Lord Have Mercy,8.3E-05
Anna Nordell,8.1E-05
Machine Gun Kelly (2),7.9E-05
Subway (12),7.8E-05
S-Dub (3),7.7E-05
Michael Rose,7.7E-05
Lady G,7.7E-05
Trillville,7.5E-05
Jon B,7.5E-05
D.I.T.C.,7.5E-05
El DeBarge,7.5E-05
Hot Stylz,7.5E-05
Austin Mahone,7.5E-05
NAV (7),7.5E-05
Topic (2),7.4E-05
Que (11),7.4E-05
Otakhee,7.3E-05
Lex Luger,7.2E-05
Alesha,7.1E-05
Rita Ora,7.1E-05
JoJo (3),7.1E-05
NSS16,7E-05
Bloody Jay,7E-05
V-Nasty,6.9E-05
Rae Sremmurd,6.9E-05
Blackbear,6.9E-05
Conor Maynard,6.8E-05
Drop City Yacht Club,6.8E-05
Pia Mia,6.8E-05
Ill Inspecta,6.7E-05
"Tyler, The Creator",6.7E-05
Coke Boys,6.7E-05
Symbiz,6.7E-05
Charlie Puth,6.7E-05
Titty Boy,6.7E-05
Pill (4),6.6E-05
Ca$his,6.6E-05
Baby Boy Da Prince,6.6E-05
Angel Demar,6.6E-05
Re-Up Gang,6.6E-05
Tulisa,6.6E-05
Teddy Verseti,6.6E-05
Nate Ruess,6.6E-05
Blak Jak,6.6E-05
Isac Elliot,6.6E-05
Dido,6.6E-05
Tha Blockburners,6.6E-05
Ruben Studdard,6.5E-05
Teriyaki Boyz,6.5E-05
J-Status,6.5E-05
Stat Quo,6.5E-05
GOOD Music,6.5E-05
Malik Yusef,6.5E-05
Stuey Rock,6.5E-05
Cher Lloyd,6.5E-05
Jason Mraz,6.5E-05
Jennifer Hudson,6.5E-05
DJ LRM,6.5E-05
ASAP Ferg,6.5E-05
J. Holiday,6.5E-05
Tory Lanez,6.5E-05
Shontelle,6.4E-05
Boo & Gotti,6.4E-05
Cory Gunz,6.4E-05
Static Major,6.4E-05
DJ E-Nyce,6.4E-05
DJ Folk,6.4E-05
Majid Jordan,6.4E-05
Dap-C,6.4E-05
The Throne (2),6.4E-05
BlocBoy JB,6.4E-05
Scooter Smiff,6.3E-05
Sevyn Streeter,6.3E-05
Hasan,6.2E-05
