v_name,pageranks
Black Thought,0.001663
LL Cool J,0.001611
James Poyser,0.001529
Malik B.,0.001515
Rahzel,0.001465
The Roots,0.001426
Dice Raw,0.001426
Mase,0.001295
Common,0.001213
DMX,0.001
Will I Am,0.000968
Freeway,0.000847
Erykah Badu,0.000569
Total,0.000561
Mya,0.000463
Sisqo,0.00045
Shaquille O'Neal,0.000421
Jaguar Wright,0.000406
Fergie (2),0.000359
John Legend,0.00032
Bekuh Boom,0.000318
Mr. Green (3),0.000316
Roy Ayers,0.000312
Positive K,0.000304
Yum Yum (5),0.000304
Dean Dawson,0.000303
Meeno,0.000288
Brandon Beal,0.000277
Groove Lounge,0.000276
Undaground Asylum,0.000276
M1 (2),0.000274
Sérgio Mendes,0.000271
Amerie,0.00027
Flea,0.000249
Peter Gunz,0.000248
DJ J-Period,0.000244
MSD (3),0.000236
Gina D,0.000236
Broiler (2),0.000236
Bilal,0.000225
Kentyah,0.000224
Brian Jackson,0.000224
The New Midnight Band,0.000224
Blackstreet,0.000222
Elvis Costello,0.000216
Dead Prez,0.000209
Black Eyed Peas,0.000204
Shyne,0.000204
Flo Brown,0.000203
Jazzyfatnastees,0.000203
Jill Scott,0.000195
Olivia Holt,0.000192
D'Opus & Roshambo,0.000192
Breana Marin,0.000192
Schreiner,0.00018
Vido,0.00018
Amel Larrieux,0.000179
Mysonne,0.000174
No I.D.,0.00016
Penelope Jones,0.00016
Trackmasters,0.000148
Duchess,0.000148
XSO Drive,0.000148
Macy Gray,0.000145
Ruff Eyque,0.000144
Underground Network,0.000144
Harlem World,0.000144
Henry Rollins,0.00014
Dave Floss,0.000139
Emoni Montanè,0.000139
Dave Navarro,0.000139
Chad Smith,0.000139
Chali 2na,0.000135
Debi Nova,0.000135
Blinky Blink,0.00013
La Relève,0.000127
Dimples D,0.000127
Lady Spice,0.000127
The Pussycat Dolls,0.000124
DJ Kool,0.000121
The Last Poets,0.000114
Joi (3),0.000114
Hedegaard,0.000111
Dug Infinite,0.000107
Tyra B,0.000107
Marta (2),0.000103
Fredro Starr,9.4E-05
Pacewon,8.4E-05
Matlock,8.4E-05
Young Zee,8.4E-05
The Lady Of Rage,7.7E-05
Theo Schwarz,6.9E-05
Prime (3),6.9E-05
Chantay Savage,6.9E-05
Joss Stone,6.9E-05
Fu-Schnickens,6.9E-05
Melanie Durrant,6.9E-05
Eva Simons,6.5E-05
Cody Wise,6.5E-05
Madd Head,6.4E-05
Kandice Love,6.4E-05
Hole (2),6.4E-05
7 Aurelius,6.4E-05
Jake One,6.3E-05
Billy Ray (4),6.3E-05
Girl Talk,6.3E-05
Glenn Lewis,6.1E-05
Dialect Music,5.7E-05
Latoya London,5.4E-05
