v_name,pageranks
Busta Rhymes,0.003149
Wyclef Jean,0.00216
Q-Tip,0.001575
Beenie Man,0.001053
Pras Michel,0.000985
The Pharcyde,0.00098
Kelly Rowland,0.0009
Budamunky,0.00083
Lauryn Hill,0.000793
Rah Digga,0.000787
Tinie Tempah,0.000774
Phife Dawg,0.000701
Ali Shaheed Muhammad,0.000691
A Tribe Called Quest,0.00067
Jarobi White,0.00067
Fugees,0.000659
Chuck D,0.00064
Kelis,0.000614
JR & PH7,0.000527
Trina,0.000523
Rampage (2),0.000483
YU (2),0.000424
D12,0.00042
Masta Ace Incorporated,0.000413
Big Punisher,0.000405
Amerigo Gazaway,0.000382
Spoonie Gee,0.000381
Tragedy Khadafi,0.00038
Rebel MC,0.000369
Janet Jackson,0.000369
Oddisee,0.000362
Chaka Demus & Pliers,0.000352
Prince,0.000343
UGK,0.000337
Flipmode Squad,0.000335
Marla Mar,0.000333
The Good 'N' Plenty Cru,0.000333
John Forte,0.000324
Heather B.,0.00032
The Taxi Gang,0.000319
Gorillaz,0.000307
Wise Intelligent,0.000297
Bounty Killer,0.000288
Hibahihi,0.000281
Drew Dave,0.000281
Bahamadia,0.000277
Vince Staples,0.000274
Roxanne Shanté,0.000267
Trek Life,0.000267
Refugee Camp All Stars,0.00026
Paula Perry,0.000254
Chuuwee,0.000253
Luther Vandross,0.00025
Channel Live,0.00025
Zack De La Rocha,0.00025
D.B.X. (2),0.00025
Barrington Levy,0.000239
Silent Poets,0.000236
Issugi,0.000235
Terry Hall,0.000231
Syleena Johnson,0.000228
Double Trouble,0.000227
Young MC,0.000222
Treacherous Three,0.000218
Nikki D,0.000213
Precious Paris,0.000213
Spliff Star,0.000207
Rick James,0.000206
Shiba-Yankee,0.000206
G.K. Maryan,0.000206
The New Power Generation,0.000205
T.O.K.,0.000204
Audio Live,0.000204
Takumi Kaneko,0.000204
Mimismooth,0.000204
Aulla,0.000204
Youtaro'Nusro',0.000204
Steady B,0.000201
Robin (8),0.000198
Alozade,0.000198
Da Ruckus,0.000197
Paradime,0.000197
Rasta Faraman,0.000197
Eric Dikeb,0.000197
Marsha Ambrosius,0.000196
Fitz Ambro$e,0.000196
MC Negro,0.00019
The Ignorant MC,0.00019
S.L.A.C.K.,0.000184
Jack Radics,0.000181
Kyle Jason,0.000179
The Banned (7),0.000179
The SLAMjamz Artist Revue,0.000179
The Product G&B,0.000177
Sugar Roy,0.000177
Conrad Crystal,0.000177
Khia,0.000174
Wrongtom,0.000171
Diamond District,0.000168
XO (2),0.000168
Sir Piers,0.000167
Monique Bingham,0.000167
Paradise (26),0.000167
Prospect,0.000167
Jamelia,0.000158
Stromae,0.000155
Lorde,0.000155
Haim (2),0.000155
Missill,0.000151
Spoek Mathambo,0.000151
The Sequence,0.000147
The Honey Drippers,0.000147
Baby Sham,0.000147
Trizz (2),0.000146
Kulcha Don,0.00014
Prince Fatty,0.000139
Hollie Cook,0.000139
Horseman (2),0.000139
Young Smitty,0.000139
Sonji,0.000139
Gradis Nice,0.000139
Maestro Fresh-Wes,0.000133
Super Cat (2),0.000132
Dirtsman,0.000132
Little Kirk,0.000132
Ricky Rudie,0.000132
Caucasian,0.000129
St. Joe Louis,0.000129
Tre+6,0.000126
Nappy Roots,0.000126
MC Boob,0.000124
Queen,0.000123
Támar Davis,0.000122
Outsidaz,0.000118
Melanie Blatt,0.000118
Mista Chuck,0.000117
Joe Styles,0.000117
With You.,0.000117
Michael Uzowuru,0.000117
The Rock (2),0.000116
Melky Sedeck,0.000116
Dirty South Divas,0.000113
The PreC.I.S.E. MC,0.00011
The Wascals,0.000109
Cheryl Cole,0.000107
Delano (5),0.000107
Tiziano Ferro,0.000106
B.B. King,0.000103
PJ (35),0.000103
Tenor Fly,0.000102
Joni Mitchell,0.000101
6430,9.6E-05
Next (2),9.6E-05
Fam-Lay,9.1E-05
Good Compny,9E-05
Eric Turner,8E-05
Ellie Goulding,8E-05
Labrinth,8E-05
John Martin (9),8E-05
Jess Glynne,8E-05
Shannel,7.9E-05
Blak Madeen,7.9E-05
Sweetback,7.8E-05
Carly Simon,7.8E-05
Mat Zo,7.8E-05
Ak'sent,7.6E-05
Don Omar,7.6E-05
Luddy,7.6E-05
Melky And Day,7.1E-05
Maestro Goods,7E-05
Sarah Connor,6.7E-05
Claudette Ortiz,6.7E-05
Tom Jones,6.7E-05
K. Star,6.7E-05
Sharissa,6.7E-05
The WAV.s,6.7E-05
Ivy Queen,6.7E-05
Kevin Michael,6.7E-05
Space Boy Boogie X,6.4E-05
Dante Thomas,6.4E-05
Paid & Live,6.4E-05
Jim Carrey,6.4E-05
DeDe,6.4E-05
Supreme Dream Team,6.4E-05
Carlos Santana,6.4E-05
Christofield,6.4E-05
DJ Cobra (4),6.4E-05
LeAnn Rimes,6.4E-05
