v_name,pageranks
Jermaine Dupri,0.001523
Fabolous,0.001158
De La Soul,0.000764
The-Dream,0.000597
Da Brat,0.000574
Bow Wow,0.000572
Jagged Edge (2),0.000515
Lil' Bow Wow,0.000461
ElonSkee,0.000441
The Opposites,0.00043
Dio,0.000427
Keith Sweat,0.000422
Sammie,0.000394
Red Cafe,0.000377
Sean Paul (2),0.000373
Young Mac,0.000373
Fundisha,0.000367
Baby Bash,0.000355
Chaka Khan,0.000349
Tamia,0.000336
Dem Franchize Boyz,0.000307
Kirk Franklin,0.000299
Mary Mary,0.000299
Mike Shorey,0.00028
The Madd,0.00028
Raheem Devaughn,0.00028
TruthVybez,0.00028
Lil' Zane,0.000279
DJ Envy,0.000273
Plug 1,0.000256
Plug 2,0.000256
First Serve,0.000256
R.O.C.,0.000241
Mark Sparks,0.000238
Kakalaka Foundation,0.000238
Quincy Jones,0.000233
Sef (3),0.000225
Omarion,0.000213
Paula DeAnda,0.000207
YoungBloodz,0.000194
Sean P.,0.000194
J-Bo,0.000194
Gers Pardoel,0.000187
Who's Sane,0.000175
Soulja Boy,0.000171
Lil' Rascals (2),0.000165
Cardi B,0.000162
Tiffany Villarreal,0.00016
Willem de Bruin,0.000159
Big2,0.000159
Lil Bud,0.000157
Tizone,0.000157
Gladys Knight,0.000155
Tanya Stephens,0.000155
Odd Mob,0.000148
Starley,0.000148
Ray Charles,0.000147
Russell Lee,0.000135
Monica,0.000134
Young Capone,0.000128
Cocaine J,0.000128
DJ E-Feezy,0.000124
K. Michelle,0.000124
Natalie Alvarado,0.000121
SunN.Y.,0.00012
Lex Dirty,0.00012
Willie Wartaal,0.000119
Arab,0.000112
Siedah Garrett,0.000105
Two Culture Clash,0.000105
Cherish,0.000104
Red Hott,0.000101
Tamar,9.9E-05
The Dey,9.7E-05
DJ Noodles,9.6E-05
Sjaak,9.1E-05
Ayman (2),9E-05
Kut Klose,9E-05
3rd Wish,8.9E-05
Guidi (2),8.8E-05
Freck The Billionaire,8E-05
Lazy K (2),7.8E-05
Korn,7.6E-05
Parappa The Rappa,7.5E-05
One Nation Crew,7.5E-05
Teenage Fanclub,7.5E-05
Robin S.,7.5E-05
Fela Kuti,7.5E-05
Boss Howg,7.3E-05
Cardan,6.9E-05
Ryan Leslie,6.6E-05
Ophélie Winter,6.6E-05
