v_name,pageranks
DJ Tomekk,0.000981
Trooper Da Don,0.000861
Bushido (2),0.000768
Stieber Twins,0.000737
Samy Deluxe,0.000736
Ty,0.000672
D-Flame,0.000669
Spax,0.000657
Xavier Naidoo,0.000632
Afrob,0.000567
Max Herre,0.00055
Jan Delay,0.00052
La Mazz,0.000499
Ferris MC,0.000498
Eko Fresh,0.000481
Massive Töne,0.000474
Raptile,0.000466
Sido,0.000457
Funky DL,0.000413
Rappers Against Racism,0.00041
Sabrina Setlur,0.000408
Jazzkantine,0.000399
Chakuza,0.000387
Jay Supreme,0.000384
DJ Chestnut,0.00037
KC Da Rookee,0.000366
Freundeskreis,0.000351
Moses Pelham,0.000351
RAG,0.000336
Sékou,0.000336
Down Low,0.000334
Torch,0.000324
Hocus Pocus (4),0.000318
Cora E,0.000317
Fler,0.000315
Skills En Masse,0.000314
Blumentopf,0.000313
DJ Mirko Machine,0.000307
Spezializtz,0.000306
G-Style,0.000301
Bonez MC,0.000299
RAF (21),0.000293
DJ Friction (2),0.00029
J-Luv,0.000284
Such A Surge,0.000283
G-Hot,0.000281
Lisi (2),0.000281
Flowin' Immo,0.000267
Jan Phillip Eißfeldt,0.00026
Dennis Dubplate,0.00026
Absolute Beginner,0.00026
Scream Factory,0.00026
Toni L.,0.000259
DJ Stylewarz,0.000257
Kohndo,0.000254
Omar,0.000254
Aleksey,0.000245
Flip Da Scrip,0.000244
MC Rene,0.000244
Roger Rekless,0.000237
Eißfeldt,0.000236
Valezka,0.000234
Strapt,0.000232
Thomilla,0.000228
Afro-Rican,0.000228
S. Justice,0.000228
Derrick Rahming,0.000228
Purple Haze (14),0.000228
Def Cut,0.00022
Scooter,0.000218
Kitty Kat (2),0.000218
Tony D (5),0.000218
Texta,0.000216
DJ Desue,0.000213
Smudo,0.000212
Tatwaffe,0.000212
Gzuz187,0.000208
Bruda Sven,0.000204
Kay One,0.000202
K.I.Z.,0.0002
Illmat!c,0.000193
Das Bo,0.00019
Azra,0.000188
FK Allstars,0.000184
Busy,0.000181
Tropf,0.000181
Tony Allen,0.000178
Damon Albarn,0.000178
Zeb.Roc.Ski,0.000167
She-Raw,0.000163
Jahcoustix,0.000162
Udo Lindenberg,0.000162
Die Profis (3),0.00016
Sandra Nasic,0.000158
Trigger Tha Gambler,0.000158
Joy Denalane,0.000157
Hip Hop Alliance,0.000155
Glashaus,0.000154
Franziska,0.000154
Vanessa Mason,0.000151
MB 1000,0.000151
Safarisounds,0.000149
Masayah,0.000147
Jee 2 Tuluz,0.000147
Falk (2),0.000146
Arj Snoek,0.000144
Veronica Lee,0.000143
Maseo,0.000138
Chablife,0.000138
E-La,0.000137
Al Rock,0.000137
Della Miles,0.000134
N.Y. City Beats,0.000126
Bela B.,0.000124
The NDR Big Band,0.000124
Mellowbag,0.000122
RAF 3.0,0.000122
Tone (4),0.000119
Taino Tactix,0.000119
Disko No. 1,0.000113
Dynamite Deluxe,0.000113
DJ Stixx,0.000109
Guile,0.000109
Crucial (3),0.000108
Blahzay Blahzay,0.000106
Fetsum,0.000106
Silla,0.000106
Taïro,0.000106
Jalil (3),0.000106
Tarééc,0.000105
DJ Marius No. 1,0.000104
Shortee Blitz,0.000102
Rico Sparx,9.9E-05
Harold Faltermeyer,9.9E-05
MOK (3),9.9E-05
Dendemann,9.9E-05
Cassandra Steen,9.8E-05
Karel Gott,9.8E-05
Shindy,9.8E-05
F.A.B. (2),9.5E-05
DJ Brisk Fingaz,9.5E-05
DJ Haitian Star,9.4E-05
Future Rock,9.4E-05
Ja.One & Twizzy,9.2E-05
Karl Krings,9.1E-05
L.O.V.E. (2),8.9E-05
Stress (12),8.4E-05
Bintia,8.4E-05
Meli,8.3E-05
Toyya,8.2E-05
Seven (16),8.2E-05
Miss T (2),8.2E-05
Vanessa S.,8.2E-05
Da Vinci (6),8.2E-05
Cheryl Lynn,8E-05
Jörn-Uwe Fahrenkrog-Petersen,7.5E-05
K.P. Crew,7.4E-05
Classical Leader,7.3E-05
