v_name,pageranks
Notorious B.I.G.,0.002104
Missy Elliott,0.002037
Lil' Kim,0.001624
P. Diddy,0.001608
Timbaland,0.001241
Nelly,0.001157
Puff Daddy,0.000903
Fatman Scoop,0.000863
Faith Evans,0.000856
M.O.P.,0.000645
Nelly Furtado,0.000587
The Lox,0.000585
Ciara (2),0.000576
Justin Timberlake,0.000564
Loon,0.000552
Black Rob,0.000445
Sizzla,0.000423
Brian McKnight,0.000417
T-Ski Valley,0.000415
Christina Aguilera,0.000398
Keri Hilson,0.000376
Puff Daddy & The Family,0.000363
Lil' Cease,0.000361
St. Lunatics,0.000359
Mr. Cheeks,0.000356
Mario Winans,0.000348
Trife,0.000344
Junior M.A.F.I.A.,0.000328
Truth Hurts,0.000316
Ginuwine,0.000315
Kool & The Gang,0.0003
Grand Groove Bunch,0.000299
DJ S&S,0.000298
DJ Skribble,0.000282
Stik-E & The Hoodz,0.000282
Keyshia Cole,0.000278
Lady Gaga,0.00027
Maceo Parker,0.000266
Cedric The Entertainer,0.000258
"Barrio Soul, Inc.",0.000258
ODM,0.000258
Roc Bottom,0.000258
Diane Gordon,0.000258
Nicole Wray,0.000253
Glen Adams,0.000251
Raphael Saadiq,0.000246
Snowgoons,0.000246
Mocha,0.000245
Aaliyah,0.000245
The Marxmen,0.000241
Zhané,0.000224
"Daniel ""Danny P"" Pierre",0.000222
Just Four,0.000216
J.T. Taylor,0.000213
La Roux,0.000205
Mistri,0.000204
Pee Wee Ellis,0.000204
Haji Akbah,0.000204
Tweet,0.000201
Matoma,0.000201
P!NK,0.000197
Daddy-O,0.000196
Freestyle Fellowship,0.000196
Cassie (2),0.000195
Ms. Jade,0.000192
Skrillex,0.000189
Jason Downs,0.000186
Milk Dee,0.000186
Magoo (3),0.000184
Craig Mack,0.000184
H.O.T. Ones,0.000182
Horace Brown,0.000172
Beatnick & K-Salaam,0.000169
Ill Al Skratch,0.000168
Inna,0.000168
Little Boots,0.000168
Ian Carey,0.000163
Bobby Anthony,0.000163
F/M,0.000161
Helen Bruner,0.000161
Tim McGraw,0.000161
Finesse (3),0.00016
Glen Adams Affair,0.000157
God's Property,0.000155
Kirk Franklin's Nu Nation,0.000155
Allure (3),0.000155
Maino,0.000155
Sista (2),0.000154
The Bad Boy Family,0.000153
R.A. The Rugged Man,0.000153
G-Dep,0.000153
DJ Excel (5),0.00015
Red Hot Lover Tone,0.000145
Organized Konfusion,0.000145
Zena,0.000142
B.B.O.,0.000141
Tru II Dis,0.000141
FYA,0.000137
Smujji,0.000137
Tash,0.000135
Crooklyn Clan,0.000131
Blue (5),0.000131
Stephanie Mills,0.000129
The Lonely Island,0.000129
Bob Marley,0.000128
Gina Thompson,0.000125
Negrow League,0.000125
James Fauntleroy II,0.00012
Carl Thomas,0.000119
LeToya Luckett,0.000117
Olivia,0.000116
The Dragon Family,0.000115
Naudy,0.000112
E Bros,0.00011
DJ Freeze (2),0.00011
Jauz,0.00011
DeVante Swing,0.000107
Birdy Nam Nam,0.000107
Stig Of The Dump,0.000104
Brand Nubian,0.000104
Da Prince Hakim,0.000103
Chapter III,0.000102
Enya,9.9E-05
T-Storm,9.9E-05
SoShy,9.8E-05
Tink (7),9.4E-05
Mark Curry,9.3E-05
Avery Storm,9.3E-05
Killakikitt,9.1E-05
Ali (2),8.2E-05
William Orbit,8.1E-05
Journalist,7.8E-05
Victoria Beckham,7.8E-05
Fred Wesley,7.7E-05
Belly (3),7.7E-05
Solé,7.7E-05
Capleton,7.7E-05
LSG,7.5E-05
Lyric (4),7.5E-05
Willie Max,7.4E-05
Vanessa Williams,7.4E-05
Sal Parm,7.3E-05
Amina Harris,7.3E-05
Lil Eddie,7.2E-05
Kali Fam,7E-05
Florida Georgia Line,7E-05
Melanie B,6.9E-05
Yazoo,6.9E-05
Danity Kane,6.9E-05
Timbaland & Magoo,6.9E-05
Ken (37),6.9E-05
Dani Stevenson,6.9E-05
Blaque (2),6.9E-05
Cainon Lamb,6.9E-05
OneRepublic,6.8E-05
The Relativez,6.8E-05
K'naan,6.8E-05
Her Sanity,6.8E-05
Michelle Branch,6.8E-05
1 Life 2 Live,6.8E-05
Kazpale C. DaVincci,6.8E-05
DJ Reg West,6.7E-05
Roby Rob,6.7E-05
Assassin,6.7E-05
Tiffany Evans,6.6E-05
Addictive (2),6.6E-05
Kokane,6.6E-05
Eric Benét,6.5E-05
Jimmy Page,6.5E-05
Baby Doll,6.4E-05
