v_name,pageranks,
Screamin' K,0,
Def Jef,0,
Etta James,0,
Loose Bruce,0,
A.R.C. Moe Rock,0,
CJ Mackintosh,0,
Einstein (2),0,
Soul Switch,0,
Meli'sa Morgan,0,
Positive Force,0,
Funky 4 + 1,0,
Tanya Winley,0,
History,0,
King Sun,0,
D-Moet,0,
Steinski & Mass Media,0,
DJ 'Sugar' Kane,0,
Hexstatic,0,
Ike & Tina Turner,0,
Nathaniel Merriweather,0,
Lovage,0,
Mike Patton,0,
Jennifer Charles,0,
Endgames,0,
Hugh Masekela,0,
The Prince Of Dance Music,0,
Jonzhaft The Psychopath,0,
Hartkor Kinkxz,0,
808 Mafia,0,
T.O.C.,0,
Rocca,0,
StoneBridge,0,
JJ,0,
Captain Rapp,0,
The Fresh Team,0,
The Incredible M.D.,0,
The Phunky People,0,
Gemini And His Posse,0,
Gemini (7),0,
The Masters Of Funk,0,
Nine,0,
Mix Masters,0,
MC Action,0,
Diferenz,0,
Jazz Con Bazz,0,
3 Man Island,0,
Carol Jiani,0,
Snap!,0,
Maxayn Lewis,0,
Turbo B.,0,
Vanity,0,
MC Jam,0,
Pee Wee Jam,0,
"""Fast"" Eddie Smith",0,
DJ Sneak,0,
Beam Vs. Cyrus,0,
MC Hammer,0,
Bobby Konders,0,
Massive Sounds,0,
Chubb Rock,0,
Howie Tee,0,
DJ Yas,0,
Tommy Guerrero,0,
Million Dan,0,
Raw As F**K,0,
B.E.W.A.R.E.,0,
Tony Scott,0,
DJ Fix (2),0,
Bomb The Bass,0,
DJ Proper,0,
The Grand Lordmaster,0,
Frankie Hi-NRG MC,0,
Aeroplanitaliani,0,
C + C Music Factory,0,
Q-Unique,0,
Deborah Cooper,0,
Super Star A-Mar,0,
Jay Bee Rock,0,
Starchild (4),0,
Disco Bee,0,
Godhead (2),0,
Triad,0,
DXJ & The Miami Bass Mob,0,
The Latin Maggots,0,
Lightning Rich,0,
Big John (19),0,
The Maniacs (9),0,
Doctor Rocx and Co.,0,
Kydd Freshh,0,
Mr. Holiday,0,
MC Miker G,0,
Smitty D,0,
Rock Squad,0,
Bad Boys,0,
K Love,0,
M.C. Chill,0,
D.J. Kid Finesse,0,
Beatmaster T,0,
Hurby Luv Bug,0,
Super Nature,0,
The Real Roxanne,0,
Gary Wallace,0,
Jammin' J,0,
Benny B,0,
DJ Daddy K,0,
Perfect,0,
A.L.T.,0,
The Lost Civilization,0,
Planet Patrol,0,
Son Of Bazerk,0,
No Self Control And The Band,0,
Bus (2),0,
MC Soom-T,0,
Asher D (2),0,
Misty (4),0,
Mark B,0,
M.C.M.,0,
Big Ted,0,
Scritti Politti,0,
Likwit Crew,0,
DJ Lynx,0,
Det Reirruc,0,
The Latin Rascals,0,
Dominique Lee,0,
Q-Dee,0,
Mr. Wax Master Torey,0,
DJ Sound Machine,0,
Asheru,0,
Blue Black,0,
The Unspoken Heard,0,
