v_name,pageranks
Redman,0.001749
Erick Sermon,0.001295
Keith Murray,0.001251
MC Lyte,0.001028
Jamal,0.000952
Xzibit,0.000938
Def Squad,0.000895
DJ Quik,0.000824
Erick Onasis,0.000767
Slick Rick,0.00069
Gentleman,0.000622
Dru Down,0.000479
Khaled,0.000446
Afu-Ra,0.000426
Brooke Russell,0.000425
AMG,0.000424
113,0.000405
Montell Jordan,0.0004
Shiro,0.000391
The Rapsody,0.000361
Magic System,0.000332
Sy Scott,0.00031
Suga Free,0.000294
Rappin' 4-Tay,0.000294
Bootsy Collins,0.000278
Destructo (8),0.000263
Al B. Sure!,0.000259
Skubie Tha Ciko Son,0.000245
El Debarge,0.000245
Boomoperators,0.000238
Funckarma,0.000238
Kid Capri,0.000224
Gizelle D'Cole,0.000219
Marvin Gaye,0.000212
Richie Stephens,0.000212
Mohamed Lamine,0.000195
Funky Fresh Few,0.000194
Alfonzo Hunter,0.000192
RL (2),0.000182
Imajin,0.00018
Sinéad O'Connor,0.000172
Danacee,0.000169
Kore & Bellek,0.000164
DJ Ev,0.000162
Won-G,0.00016
Problem (6),0.000159
Ground Zero (11),0.000157
Oowee,0.000152
Fonky Family,0.00015
Diana King,0.00015
Sarah King (2),0.00015
The David Fascher Project,0.000144
Baby DC,0.000141
Leona Lewis,0.000139
Childish Gambino,0.000139
L.O.D. (4),0.000138
Jamal (2),0.000138
Calif,0.000138
Mighty Tolga,0.000132
Pilar Montenegro,0.000132
Reda Taliani,0.000125
Black Renega,0.000125
Skin Deep (2),0.000124
Miss Jones (2),0.000124
Mausberg,0.000122
Spinners,0.000122
Dual Control,0.000121
The Dallas Austin Experience,0.000119
B Star,0.000119
Lytro,0.000115
Ian Brown,0.000112
Diana Ross,0.000112
Heavy D. & The Boyz,0.000112
Sissel,0.000109
Angélique Kidjo,0.000109
Lee Majors (3),0.000107
Mellowdramatik,0.000107
Cha Cha,0.000105
La Sherie Chambers,0.0001
The Fixxers,0.0001
Hawkeye (4),9.9E-05
OMC,9.3E-05
Perverted Monks,9.1E-05
Teena Marie,9.1E-05
Deee-Lite,8.4E-05
Deborah Cox,7.8E-05
DJ K Rock,7.7E-05
Mellowman,7.7E-05
Lord Tariq,7.6E-05
Overground,7.3E-05
Walkin' Large,6.7E-05
The Los Angeles Leakers,6.7E-05
Tha Mexakinz,6.5E-05
Montage One,6.5E-05
Cherrelle,6E-05
Kelly Price,6E-05
