v_name,pageranks
Biz Markie,0.001135
Funkmaster Flex,0.001069
Big Daddy Kane,0.001046
DJ Green Lantern,0.001013
Mark Ronson,0.000884
Tony Touch,0.000787
DJ Enuff,0.000714
Big Kap,0.000683
Ras G,0.000671
Kool G Rap,0.000665
Mister Cee,0.000606
Marley Marl,0.000581
Kid Cudi,0.000487
Doo Wop,0.000461
Maxi Jazz,0.000443
Prodigy,0.000428
Craig G,0.000419
The Brand New Heavies,0.000398
Percee P,0.000395
DJ Cipha Sounds,0.000388
Ron G,0.000385
The Flip Squad,0.000366
DJ Life,0.000366
Licensed To Kill,0.000366
Karst (3),0.000366
Abstral Compost,0.000366
Rhyme Animal Productions,0.000366
Deemo Da Pro,0.000366
Audio Sonic Crew,0.000366
Electrodefender,0.000366
Gonjasufi,0.000366
Dibiase,0.000366
Shash'u,0.000366
La Cosca,0.000366
Turntable Dragun'Z,0.000366
DJ Spinbad,0.000363
DJ JS-1,0.000322
Heltah Skeltah,0.000308
Will Smith,0.000291
Aphrodelics,0.000259
DJ Dale,0.000253
Soul Food Cafe,0.000236
Infamous Mobb,0.000232
MC Shan,0.00023
O.G.C.,0.000224
Flying Lotus,0.000217
Bobby J,0.000212
Little Daddy Shane,0.000208
Grim Reaperz,0.00019
Rap Conscious,0.000168
Tripple C,0.000158
Sista In Trouble,0.000158
Dr. Hijack,0.000158
Main Source,0.00015
Tiger,0.00015
DJ Ody-Roc,0.000148
Dub-L,0.000148
Big Mike (6),0.000135
Koreatown Oddity,0.000134
MGMT,0.000133
Ratatat,0.000133
Best Coast,0.000133
Rostam Batmanglij,0.000133
The Fabulous Five,0.00013
N'Dea Davenport,0.000126
TJ Swan,0.000125
Emcee Killa,0.00012
Connie Price & The Keystones,0.000116
Finesse & Synquis,0.000113
F.T.,0.000112
DJ Derezon,0.000112
Broke Mogul,0.000111
The Business Intl,0.000109
Wayne Coyne,0.000109
Rocket From The Crypt,0.000109
5 Chuckles,0.000103
Jamaica Mean Time,0.000102
Samiyam,0.000102
Chino XL,0.000101
Rhymefest,8.9E-05
Tra-Knox,8.8E-05
Bomba Estéreo,8.8E-05
Fat Lip,8.7E-05
Ekim,8.7E-05
Boogz Boogetz,7.9E-05
Mr. R,7.9E-05
5 Family Click,7.7E-05
Novel,7.7E-05
Nutmeg (5),7.7E-05
Glamour Girls,7.5E-05
Portia,7.4E-05
Damon Dash,7.3E-05
Fort Minor,7.3E-05
Immortal Technique,7.3E-05
Rockstar Games,7.3E-05
Russell Simmons,7.3E-05
Benny (45),7.3E-05
DJ Slynke,7E-05
Barry White,6.8E-05
Deams,6.8E-05
MC D-Stroy,6.8E-05
Mucho Muchacho,6.8E-05
Black Dusty Rhodes,6.5E-05
Sun Dullah,6.5E-05
BlackMonk,6.5E-05
Amy Winehouse,6.2E-05
J Remi,6.1E-05
Da Ladies,6E-05
