v_name,pageranks
Pharrell Williams,0.003164
Mary J. Blige,0.001402
Twista,0.001035
Shaggy,0.000985
Kool Savas,0.000984
Kardinal Offishall,0.000957
Eve (2),0.000784
"Kenny ""Dope"" Gonzalez",0.000771
Charlie Wilson,0.000754
Lord Finesse,0.000642
Sway,0.000642
Azad,0.000588
Bobby Brown,0.000565
Chad Hugo,0.00056
DJ Vadim,0.000496
N*E*R*D,0.00048
Shay Haley,0.00048
Lumidee,0.000465
The Electric,0.000441
Damian Marley,0.00044
Clipse,0.000434
Brotha Lynch Hung,0.000424
Cam'ron,0.000378
Colby O'Donis,0.000358
Yarah Bravo,0.000358
Gang Starr,0.000319
Drag-On,0.00031
Maxi Priest,0.000309
Rayvon,0.000292
DJ Mike Smooth,0.000287
Gwen Stefani,0.000284
Longsy D,0.00028
Two Fingers,0.000271
Johnny P.,0.000265
Santogold,0.00026
The Course,0.000259
Mondane,0.000259
Michael Fall,0.000259
Rick Ellback,0.000259
Aziza (10),0.000259
Choclair,0.000251
Saukrates,0.000248
Mad Lion,0.000245
II Tone Committee,0.000244
The Casual 7,0.000244
C-Bo,0.000244
U2,0.000244
Yukmouth,0.000243
Frankie Cutlass,0.000242
The Merciless R.N.S.,0.000241
Ralph Tresvant,0.000225
Grand Puba,0.000221
Gregory Isaacs,0.00021
The Kount (3),0.000207
Karl Wolf,0.000205
The Mad Racket,0.000203
Whitney Houston,0.000201
Do Or Die,0.000198
George Michael,0.000192
Britney Spears,0.000182
Rascalz,0.000177
Thrust (5),0.000177
CheckMate (3),0.000177
Solitair,0.000176
The Diplomats,0.000175
DJ Kofi,0.000174
Ed-Star,0.000174
Jean Paul Esq,0.000174
T-Boz,0.000172
Cut Master M.C.,0.000172
Adel Tawil,0.000165
Julian Casablancas,0.000161
Lee Harvey,0.000158
Sting,0.000156
Shinehead,0.000156
Blu Cantrell,0.000154
Azealia Banks,0.000154
Musiq,0.000152
Markone1,0.000152
The Brothers (33),0.000152
Lady Saw,0.00015
Hans Zimmer,0.00015
The Magnificent Six (2),0.00015
Johnny Marr,0.00015
Marsha (3),0.000149
Smoothe Da Hustler,0.000142
Jasmin Lopez,0.000141
J.Robb (2),0.00014
Michie Mee,0.000139
Bell Biv Devoe,0.000138
Johnny Gill,0.000138
Allen Anthony,0.000138
Mark Knight,0.000138
Killa Klump,0.000137
The Speed Knot Mobsters,0.000133
The Thug Lordz,0.000132
Kicks Like A Mule,0.000131
DJ Pfund500,0.000131
DJ Sweap,0.000131
N.A.S.A. (4),0.000129
Lykke Li,0.000129
The Big One Crew,0.000127
Rhonda Davis (2),0.000122
Screechy Dan,0.000121
Axxis,0.000121
The Bucketheads,0.000121
Dream Warriors,0.000121
Kess,0.000121
Chelo,0.000115
Duke Da God,0.000113
Sicx,0.000111
Doomsday Productions,0.000111
Siccmade Muzicc,0.000111
The Neptunes,0.00011
Francisco (11),0.000109
SDP (5),0.000109
Madonna,0.000108
Melbeatz,0.000108
*NSYNC,0.000106
Ruff Endz,0.000106
Vado,0.000106
The Police,0.000105
Ian Lewis,0.000105
Sleepy Wonder,0.000105
Lazy Jay,0.000104
Parle,0.000103
Jayla Jewel,0.000102
Defenders Of The Faith (3),0.000101
Stacks,9.8E-05
Rosco P. Coldchain,9.3E-05
Skateboard P,9.2E-05
MIX MASTER G-Flexx,9.1E-05
J.R. Swinga,8.9E-05
Paradiso Girls,8.9E-05
Page The Hand Grenade,8.9E-05
Ali G,8.5E-05
Eric Singleton,8.5E-05
Brian & Tony Gold,8.5E-05
Sahara (10),8.5E-05
Wolfpak,8.4E-05
Culture (3),8.3E-05
Speedy (3),8.3E-05
Dr. Stay Dry,8.3E-05
Jimmy Yitty,8.3E-05
Aretha Franklin,8.2E-05
Black Ice (4),8.2E-05
Hot Ones,7.9E-05
Smut Peddlers,7.5E-05
Optik Crew,7.5E-05
The Mitchell Brothers,7.5E-05
Italo Reno & Germany,7.5E-05
Lemar,7.5E-05
Ninjaman,7.5E-05
Strings,7.2E-05
InfaRed (3),7E-05
Natasha (7),7E-05
Legit Ballaz,7E-05
Hot Rod,6.7E-05
Glenn Medeiros,6.7E-05
Run,6.7E-05
Sena,6.7E-05
Katrina Blackstone,6.7E-05
Dj Vadim,6.6E-05
Uffie,6.5E-05
