v_name,pageranks
Snoop Dogg,0.006347
Dr. Dre,0.001664
Ice Cube,0.001438
Daz Dillinger,0.001346
Kurupt,0.001238
Ice-T,0.001075
Mack 10,0.000801
Tray Dee,0.000718
Warren G,0.000714
Eazy-E,0.00066
Wretch 32,0.000466
Crooked I,0.000434
The Arabian Prince,0.000413
Jayo Felony,0.000411
N.W.A.,0.000387
DJ Yella,0.000387
MC Ren,0.000387
Devin The Dude,0.000385
Soopafly,0.000377
Tha Dogg Pound,0.000363
Tha Eastsidaz,0.000347
Goldie Loc,0.000347
Orgasmic,0.00034
Tekilatex,0.000336
Butch Cassidy,0.000317
Knoc-Turn'al,0.000312
Danny Boy,0.000308
Mavado,0.000303
B-Legit,0.000294
Tyrese,0.000285
The Icepick,0.000279
DJ Supreme (3),0.000279
Ant Banks,0.000276
WC,0.000276
Latoya Williams,0.00027
King Tee,0.000255
World Class Wreckin' Cru,0.000253
Mac Mall,0.000251
Snoop Lion,0.000241
Star Slinger,0.000224
Rick Rock (2),0.000219
J-Ro,0.000217
Swoop G,0.000214
Eastwood (3),0.000208
Ed Sheeran,0.000205
B.G. Knocc Out,0.000204
Tone Loc,0.000204
Mario,0.000199
Mr. Tan,0.000197
Popcaan,0.000197
Mr. Kane,0.000196
Eddie Murphy,0.000186
Time Bomb (2),0.000183
Slip Capone,0.000183
T.W.D.Y.,0.000179
Doggy's Angels,0.000175
Tha Realest,0.000173
Lil' C-Style,0.000173
Afrika Islam,0.000172
DJ Polo,0.000172
Nathan,0.000172
Psy (7),0.000172
Roscoe,0.000169
Papoose,0.000169
The West Coast Rydaz,0.000168
Andre 3000,0.000168
Peter Andre,0.000163
Dat Nigga Daz,0.000161
Federation,0.00016
E-White,0.00016
Limp Bizkit,0.000156
Daddy V,0.000156
Das EFX,0.000154
George Nooks,0.000154
Lupa (3),0.000154
Lexington Bridge,0.000154
Johnta Austin,0.000152
33Hz,0.000151
40 Glocc,0.00015
Q (62),0.000146
Hit From Tha Lbc,0.000146
BadBadNotGood,0.000137
Brodinski,0.000135
Fuzati,0.000135
Reggie B,0.000134
B.R.E.T.T.,0.000132
Gangsta Dresta,0.000126
Uzi Bros.,0.000126
DJ Aladdin,0.000125
Panjabi MC,0.000123
Mark Morrison,0.000123
J-Dubb,0.000119
Caz (3),0.000118
L.A. Nash (2),0.000118
Mann (3),0.000116
Iyaz,0.000116
Arman Cekin,0.000116
Paul Rey (3),0.000116
Vansilk,0.000112
Ron Jeremy (2),0.000112
Lonzo,0.000111
Sargent Tucker,0.000111
Black Ty,0.000109
Bubbler Ranx,0.000108
The K.I.D.,0.000108
3re Da Hardaway,0.000107
19th Street (2),0.000105
Westside Connection,0.000105
DMG (2),0.000105
Guano Apes,0.000105
Melgroove,0.000104
DJ Unk,0.000103
Daryl Hall,0.000101
DJ Rick Lee,0.000101
Insane Macbeth,9.8E-05
Aliosity,9.8E-05
ZZ-Bros.,9.7E-05
Yella,9.7E-05
Hoodie Allen,9.7E-05
Kaytranada,9.6E-05
Ms. Toi,9.5E-05
Example,9.5E-05
Smiler (7),9.5E-05
Josh Kumra,9.5E-05
Mr. Short Khop,9.2E-05
Redd (8),9.2E-05
Joe Piscopo,9.1E-05
E-A-Ski,9.1E-05
Laza Morgan,9E-05
Busy Signal,9E-05
Dre,8.9E-05
Bad Azz,8.8E-05
Jeannie Ortega,8.7E-05
Sam Sneed,8.3E-05
Smitty (6),8.1E-05
Curtis Mayfield,7.7E-05
Black Uhuru,7.7E-05
Body Count (2),7.7E-05
Cedric Ceballos,7.1E-05
Too Phat,7.1E-05
Da Hood (3),6.9E-05
Shawty Redd,6.7E-05
Sickamore,6.7E-05
Jamel Debbouze,6.7E-05
Steady Mobb'n,6.7E-05
Jason Derulo,6.7E-05
Stevie Wonder,6.7E-05
Pilot (13),6.7E-05
Marty James,6.7E-05
Chris Webber,6.6E-05
Khop,6.5E-05
Poverty (2),6.5E-05
King Mez,6.5E-05
DJ Exclusive,6.5E-05
