v_name,pageranks
Jay-Z,0.004215
R. Kelly,0.001897
Sean Paul,0.0011
B.O.B,0.000864
Yellow Claw,0.000797
Wiley (2),0.000774
Memphis Bleek,0.000717
Bone Thugs-N-Harmony,0.000709
Beyoncé,0.000687
Mick Boogie,0.00068
Beanie Sigel,0.000585
Wale,0.000477
Muro,0.000449
Naughty Boy (3),0.000435
Mr. Vegas,0.000426
Baauer,0.00036
Nick Cannon,0.000347
Tinchy Stryder,0.000347
Cesqeaux,0.00034
Kumi Koda,0.000336
Public Announcement,0.000329
3LW,0.000329
Post Malone,0.000328
Skepta,0.000306
Ray J,0.000304
Lexxus,0.000296
DJ Jazzy Jeff,0.00029
Salt 'N' Pepa,0.000286
Noise Cans,0.000262
Mikael Gabriel,0.000255
Antoinette,0.000253
Phil Collins,0.000249
Ms D,0.000247
Amil,0.000246
Classified (2),0.000244
Wayne Wonder,0.000236
Rustie,0.000236
Daniel Merriweather,0.000236
Gwen Dickey,0.000233
Capone -N- Noreaga,0.000232
Uniikki,0.000226
Naughty By Nature,0.000221
Travis Blaque,0.000219
Farasha,0.000219
TQ,0.000219
Sam Romans,0.000219
DJ Snake,0.000218
Deemi,0.000213
Kris Wu,0.000213
Rich Brian,0.000213
Trippie Redd,0.000213
Joji,0.000213
Cookbook,0.000211
N-Dubz,0.000205
Anthony Hamilton,0.000203
Flosstradamus,0.000203
1st,0.000203
graves (9),0.000203
Key!,0.000203
Robin (56),0.000198
Peedi Crakk,0.000197
JME (2),0.000194
Rell,0.000191
Evelina (4),0.000189
AlunaGeorge,0.000186
Lil' Romeo,0.000184
Taylor Swift,0.000183
B2K,0.000182
Hurby's Machine,0.000181
Elliphant,0.000181
Mike Down,0.000179
Just Blaze,0.000179
Mr. Blistah,0.000179
Linkin Park,0.000175
Rik Rok,0.000174
Razihel,0.000174
TeamMate,0.000174
Big Tymers,0.000173
Dangerous LLC.,0.000173
Midi Mafia,0.000173
Daddy Yankee,0.000168
Emeli Sande,0.000163
Fresh 4,0.000161
Lizz E.,0.000161
Melissa Jay,0.000161
Another Level,0.000159
Chanté Moore,0.000159
Chip (9),0.000156
Frisco (2),0.000156
Chingy,0.000152
Angel (114),0.000149
Stori,0.000149
MZ Lelee,0.000144
Priscilla Jones,0.000144
215 The Freshest Kids,0.000139
Ajax (6),0.000138
Cash Cash (3),0.000136
Neon Hitch,0.000136
Lil Kano,0.000133
Billy Cook,0.000133
Young Chris,0.000132
Jan Hammer Project,0.000132
Damion Hall,0.000128
The Rebel Yell,0.000128
Yade Lauren,0.000128
Bodyrox,0.000126
Becky G,0.000125
Delly Ranks,0.000124
Cut Creator$,0.000121
Pebbles,0.00012
Spinderella,0.00012
Felecia,0.000107
Shorty Mack,0.000105
Rak-Su,0.000104
Kri$tal,0.000103
Intrepid Stylez,0.000102
Taio Cruz,9.8E-05
KM-MARKIT,9.6E-05
Soulhead,9.6E-05
Louise Chantál,9.5E-05
Jesse Royal,9.5E-05
Changing Faces,9.4E-05
K-Prince,9.3E-05
Diamonds In Da Rough,9.3E-05
Tina (8),9.3E-05
Dimitri From Paris,9.3E-05
Beck,9.2E-05
Mr Hudson,9.2E-05
Otis Redding,9.2E-05
Preeya Kalidas,9.1E-05
Corey (9),9.1E-05
GodsGift,9E-05
Dusky (2),9E-05
Hot Boys,8.8E-05
Roméo,8.8E-05
Ayah (2),8.8E-05
Aazar,8.7E-05
UNO Mas (2),8.4E-05
Megan Rochell,8.1E-05
David Myles (2),8E-05
Ayden (3),7.7E-05
Juyen Sebulba,7.7E-05
Phiness,7.6E-05
Terry Urban,7.3E-05
Adele (3),7.3E-05
Joey Fingaz,7.3E-05
Wisin Y Yandel,7.2E-05
Rivers Cuomo,7.2E-05
Neg'Marrons,7.2E-05
Marko Penn,7.2E-05
Alexis Jordan,7.1E-05
Simple Plan,7.1E-05
Fuse ODG,7.1E-05
Tal (9),7.1E-05
MGM (4),6.8E-05
Mr. Lee,6.8E-05
Big Tigger,6.8E-05
DJ Cassidy,6.8E-05
Static (15),6.8E-05
Lenny Kravitz,6.6E-05
Beyoncé Knowles,6.6E-05
