v_name,pageranks
Masta Ace,0.001508
Mr. Mixx,0.001274
Luke,0.001255
Brother Marquis,0.001241
The 2 Live Crew,0.001082
AG,0.00082
MC Eiht,0.000767
Coolio,0.000758
Sadat X,0.000673
Disco Rick,0.000639
Jiggie Gee,0.000577
Lady Bee,0.000551
No Good But So Good,0.000518
2Mex,0.000439
Jaz-O,0.000427
CMW,0.000424
LV,0.000412
The Puppies,0.000395
Hurricane (2),0.000364
Dibiase (2),0.000351
Sidney Samson,0.000351
Bizzey,0.000351
DJ Create,0.000351
Embis,0.000351
Su Su,0.000351
The Dogs,0.00035
Freak Nasty,0.000323
Fresh Kid Ice,0.000319
Prodeje,0.000319
Paul Nice,0.000311
Akinyele,0.000284
South Central Cartel,0.000283
Havoc & Prodeje,0.000283
The Wolf Pack (3),0.000279
Yvette Michele,0.000279
40 Thevz,0.000248
Poison Clan,0.000244
Bald Head Slick,0.000241
Makaveli,0.00024
Spice 1,0.000227
Party Arty,0.000226
"Ant ""D""",0.000223
Odweeyne,0.000206
Strick,0.000203
Val Young,0.000191
Somethin' For The People,0.000188
DJ Flexxx,0.000188
Trouble Funk,0.000186
Home Team,0.000186
B.T.S.,0.000184
Jamahl Harris,0.000184
The Ghetto Dwellas,0.000181
Murder Squad,0.000177
Liferexall,0.000176
$martyr,0.000176
D.C. Scorpio,0.000174
Billy Lawrence,0.000169
Squeak E. Clean,0.000152
H-Town,0.000148
U-Mynd,0.000148
Elder Chris Brinson & The Gospel Music Ministry Choir,0.000148
KC (4),0.000146
Rock On Crew,0.000146
Trina & Tamara,0.000145
Triple XXX (3),0.000142
The 2awk,0.000142
DJ Butta,0.000141
The Omen (4),0.000139
Kamari,0.000139
Big Gipp,0.000132
Stockbridge,0.00013
Chazz (7),0.000123
Hausmarke,0.000122
The All Stars (10),0.000119
Dazzie Dee,0.000118
The Bankrupt Boys,0.000118
Lenny D (2),0.000116
Koolade,0.000114
Da Roughneck Posse,0.000113
Felicia Rochester,0.000113
Blow That Bass And Pump That Whistle,0.000112
Ras Beats,0.000112
DJ Toomp,0.00011
II Nazty,0.00011
Sexy C,0.000106
The Pup Pound,0.000106
Bossolo,0.000103
Jel,0.000101
Verb,9.8E-05
J. Black,9.8E-05
Gorilla Glock,9.7E-05
Immobilarie,9.1E-05
Tony Smallz,8.9E-05
Mayhemm,8.9E-05
Cho'zen,8.4E-05
Sekz,8.2E-05
Rise (2),8.2E-05
Malika (2),8.1E-05
Corey,8E-05
Davy D,7.8E-05
Dead Fucking Last,7.8E-05
Bashir,7.4E-05
Tarone,7.3E-05
XSS,7.3E-05
Kenny Rogers,7.3E-05
Tavaris,7.3E-05
Action (2),7.1E-05
Gennessee,7.1E-05
Grace Tither,6.8E-05
Jalise Romy,6.8E-05
Bass Poets,6.4E-05
Melvin Riley,6.4E-05
Cisco Kid (5),6.4E-05
