v_name,pageranks
Pete Rock,0.001107
Apollo Brown,0.000919
Jazzy Jay,0.000912
Ras Kass,0.000912
9th Wonder,0.000867
Murs,0.000818
C.L. Smooth,0.000797
Madlib,0.000691
DJ Z-Trip,0.00064
Sean Price,0.000613
Buckshot,0.000603
The X-Ecutioners,0.000464
Confidence (2),0.000453
Guilty Simpson,0.00043
Freddie Gibbs,0.000425
Skyzoo,0.000386
Black Moon,0.000366
Ed O.G,0.000349
Grand Agent,0.000335
DJ Revolution,0.000325
Illmind,0.000324
Caron Wheeler,0.000318
Nairobi,0.000289
Awesome Foursome,0.000289
Pete Rock & C.L. Smooth,0.000283
Soul II Soul,0.00028
Saafir,0.000274
Sylvia Simone,0.000267
Estee Nack,0.000265
Mix Master Mike,0.000263
Shepard Fairey,0.000263
Seville,0.000261
Thes One,0.00025
Evil Dee,0.000249
Verbal Kent,0.000249
Showbiz & A.G.,0.000244
T La Rock,0.000241
King Shameek,0.000236
Purpose (3),0.000228
Symbolyc One,0.00022
Vinnie Paz,0.000218
M-Phazes,0.000213
5 Ft. Accelerator,0.000209
Bleu Davinci,0.000203
Starang Wonduh,0.000202
Top Dog,0.000202
Born Allah,0.000198
Melo-D,0.000198
DJ Day,0.000196
Master D. (2),0.000189
Giovanni,0.000189
P-Money,0.00018
Goapele,0.000173
Double K (2),0.000171
Small Professor,0.00017
Mr. No No,0.000169
Eye Cue,0.000169
G.Dot & Born,0.000165
Poppa Ron Love,0.000158
Russell Rush,0.000158
Eddie Bo,0.000158
Beat Konducta,0.000156
Al.divino,0.000151
Sway & King Tech,0.00015
Slug,0.000143
Felt (2),0.000143
Torae,0.000141
Braille,0.000133
Ahmad (2),0.000132
Khrysis,0.000131
Toshinobu Kubota,0.000129
High Plains Drifter (2),0.000129
Ugly Heroes (2),0.000128
Fokis,0.000126
Smif-N-Wessun,0.000123
Patty Crash,0.000123
Yosaku,0.000122
Denosh,0.000118
Boog Brown,0.000118
Karriem Riggins,0.000118
Deda,0.000117
Rashad (2),0.000116
The Regiment,0.000116
Maffew Ragazino,0.000116
Vince Harder,0.000115
Nate Greenberg,0.000113
4 Rax,0.000111
The Pacifics,0.000108
M.C. Joe,0.000106
Touch & Nato,0.000101
DJ P (2),9.9E-05
Radar (2),9.9E-05
DJ Emile,9.9E-05
DJ Hype (2),9.9E-05
Rose Windross,9.8E-05
Crash Tha Party,9.6E-05
DJ Boogie Blind,9.5E-05
General Patton,9.5E-05
La La,9.1E-05
Don Joe,8.6E-05
Block Barley,8.5E-05
Mega Banton,8.3E-05
Broadway,8.2E-05
The Mind Clouders,8.2E-05
真鮮組,8.2E-05
Greg Osby,7.9E-05
Cold World (2),7.9E-05
DJ Fresh (7),7.9E-05
The Un (2),7.8E-05
Kaze (2),7.8E-05
Peanut Butter Wolf,7.8E-05
Frank Nitty,7.8E-05
Smoke DZA,7.8E-05
INI,7.8E-05
Doc Hollywood,7.4E-05
UltraMi,7.4E-05
Coast Contra,7.4E-05
